# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   76       2.666108650529e-10       5.440582966994e-14      -1.127960784661e-12       2.457383975927e-16       2.159471003353e-11       2.722043969338e-12      -9.564915636694e-15 
   77       2.699746736205e-10       5.631154610934e-14      -1.196234254649e-12       2.522701062037e-16       2.091716070159e-11       2.648059718852e-12      -9.738089209606e-15 
   78       2.733685815840e-10       5.823998321001e-14      -1.265898493355e-12       2.588901422449e-16       2.026643758925e-11       2.577185071792e-12      -9.939418626942e-15 
   79       2.767932630021e-10       6.018915367985e-14      -1.336896166559e-12       2.655985173996e-16       1.964216305056e-11       2.509334163962e-12      -1.015839975848e-14 
   80       2.802490777178e-10       6.215694077343e-14      -1.409166068929e-12       2.723952322945e-16       1.904355552059e-11       2.444370241394e-12      -1.038330347897e-14 
   81       2.837360537061e-10       6.414109549387e-14      -1.482643063867e-12       2.792802760944e-16       1.846941177096e-11       2.382103477059e-12      -1.060113562426e-14 
   82       2.872538694220e-10       6.613923379471e-14      -1.557258023357e-12       2.862536260979e-16       1.791808916538e-11       2.322288787581e-12      -1.079759694733e-14 
   83       2.908018361480e-10       6.814883378184e-14      -1.632937767820e-12       2.933152473331e-16       1.738748791524e-11       2.264623649956e-12      -1.095704307442e-14 
   84       2.943792656170e-10       7.016748488068e-14      -1.709613413730e-12       3.004651074911e-16       1.687556144512e-11       2.208819418167e-12      -1.106573104804e-14 
   85       2.979866815671e-10       7.219368892727e-14      -1.787247138271e-12       3.077032254608e-16       1.638198357082e-11       2.154833639575e-12      -1.112226506044e-14 
   86       3.016247776066e-10       7.422618736842e-14      -1.865809762042e-12       3.150296301359e-16       1.590672645563e-11       2.102672427785e-12      -1.112881703441e-14 
   87       3.052940387848e-10       7.626372251958e-14      -1.945272815742e-12       3.224443456468e-16       1.544954833594e-11       2.052319452988e-12      -1.108800897144e-14 
   88       3.089947304155e-10       7.830503900150e-14      -2.025608621331e-12       3.299473912137e-16       1.500998465261e-11       2.003734993970e-12      -1.100292814463e-14 
   89       3.127268869000e-10       8.034888517680e-14      -2.106790373181e-12       3.375387809999e-16       1.458733918231e-11       1.956854990117e-12      -1.087714229149e-14 
   90       3.164903005501e-10       8.239401458658e-14      -2.188792219236e-12       3.452185239647e-16       1.418067516883e-11       1.911590093428e-12      -1.071471480678e-14 
   91       3.202845104112e-10       8.443918738703e-14      -2.271589342165e-12       3.529866237170e-16       1.378880645451e-11       1.867824720516e-12      -1.052021993537e-14 
   92       3.241087910855e-10       8.648317178604e-14      -2.355158040522e-12       3.608430783681e-16       1.341028861150e-11       1.825416104624e-12      -1.029875796507e-14 
   93       3.279624101660e-10       8.852463553300e-14      -2.439467733518e-12       3.687879974956e-16       1.304376167362e-11       1.784230140711e-12      -1.005548235843e-14 
   94       3.318454691057e-10       9.056179859945e-14      -2.524455423557e-12       3.768219734776e-16       1.268905655944e-11       1.744257146709e-12      -9.794066794802e-15 
   95       3.357581687388e-10       9.259273067467e-14      -2.610047525039e-12       3.849457659957e-16       1.234623943237e-11       1.705511841038e-12      -9.518034588556e-15 
   96       3.397005445483e-10       9.461545638641e-14      -2.696167569212e-12       3.931601913415e-16       1.201527093912e-11       1.667997663828e-12      -9.231234586532e-15 
   97       3.436724591769e-10       9.662795522826e-14      -2.782736174462e-12       4.014661238775e-16       1.169600216750e-11       1.631706333986e-12      -8.937849661361e-15 
   98       3.476735949367e-10       9.862816148707e-14      -2.869671016604e-12       4.098644974975e-16       1.138817060404e-11       1.596617406246e-12      -8.642405204766e-15 
   99       3.517034463198e-10       1.006139641703e-13      -2.956886799182e-12       4.183563070877e-16       1.109139609176e-11       1.562697828240e-12      -8.349777620876e-15 
  100       3.557613125083e-10       1.025832069334e-13      -3.044295223753e-12       4.269426099874e-16       1.080517678782e-11       1.529901497553e-12      -8.065202819533e-15 
  101       3.598462898848e-10       1.045336880072e-13      -3.131804960187e-12       4.356245274494e-16       1.052888512131e-11       1.498168818785e-12      -7.794284709599e-15 
  102       3.639572645426e-10       1.064631601253e-13      -3.219321616957e-12       4.444032461011e-16       1.026176375087e-11       1.467426260612e-12      -7.543003692264e-15 
  103       3.680929047957e-10       1.083693304515e-13      -3.306747711433e-12       4.532800194048e-16       1.000292152247e-11       1.437585912849e-12      -7.317725154356e-15 
  104       3.722519452761e-10       1.102499691291e-13      -3.393989160969e-12       4.622560375220e-16       9.751535495748e-12       1.408565503333e-12      -7.123732589818e-15 
  105       3.764340990620e-10       1.121032517858e-13      -3.480975818768e-12       4.713320137368e-16       9.507496810769e-12       1.380352482129e-12      -6.960582997227e-15 
  106       3.806392553751e-10       1.139274633760e-13      -3.567643669650e-12       4.805085446275e-16       9.270844938631e-12       1.352947808703e-12      -6.826136977324e-15 
  107       3.848671947636e-10       1.157208947984e-13      -3.653928598416e-12       4.897862366886e-16       9.041567647487e-12       1.326346049664e-12      -6.717970450842e-15 
  108       3.891175848161e-10       1.174818440167e-13      -3.739766431805e-12       4.991657063456e-16       8.819599224735e-12       1.300535160660e-12      -6.633366938944e-15 
  109       3.933899758768e-10       1.192086171806e-13      -3.825092980441e-12       5.086475799699e-16       8.604818699226e-12       1.275496268268e-12      -6.569309843652e-15 
  110       3.976837967597e-10       1.208995297472e-13      -3.909844080786e-12       5.182324938930e-16       8.397048063452e-12       1.251203451891e-12      -6.522474728276e-15 
  111       4.019983504629e-10       1.225529076014e-13      -3.993955637087e-12       5.279210944211e-16       8.196050495758e-12       1.227623525653e-12      -6.489221597847e-15 
  112       4.063328098835e-10       1.241670881778e-13      -4.077363663326e-12       5.377140378502e-16       8.001528582529e-12       1.204715820289e-12      -6.465587179549e-15 
  113       4.106862135318e-10       1.257404215807e-13      -4.160004325174e-12       5.476119904800e-16       7.813122540399e-12       1.182431965043e-12      -6.447277203148e-15 
  114       4.150574612461e-10       1.272712717061e-13      -4.241813981938e-12       5.576156286293e-16       7.630408438444e-12       1.160715669559e-12      -6.429658681424e-15 
  115       4.194453099068e-10       1.287580173621e-13      -4.322729228510e-12       5.677256386497e-16       7.452896420386e-12       1.139502505779e-12      -6.407752190601e-15 
  116       4.238485435487e-10       1.301990814169e-13      -4.402685388775e-12       5.779427180729e-16       7.280138107250e-12       1.118734668563e-12      -6.377248887895e-15 
  117       4.282665163227e-10       1.315930198654e-13      -4.481611698318e-12       5.882675791764e-16       7.112067420321e-12       1.098407759805e-12      -6.337718346335e-15 
  118       4.326986678074e-10       1.329384457472e-13      -4.559435612074e-12       5.987009458801e-16       6.948698050273e-12       1.078529309295e-12      -6.289778051396e-15 
  119       4.371443518051e-10       1.342340034423e-13      -4.636084328416e-12       6.092435526784e-16       6.790017180822e-12       1.059104220199e-12      -6.234104887504e-15 
  120       4.416028335981e-10       1.354783700401e-13      -4.711484817420e-12       6.198961446642e-16       6.635984676277e-12       1.040134683397e-12      -6.171436478921e-15 
  121       4.460732872055e-10       1.366702567083e-13      -4.785563849115e-12       6.306594775535e-16       6.486532269075e-12       1.021620091812e-12      -6.102572530627e-15 
  122       4.505547926392e-10       1.378084100620e-13      -4.858248021747e-12       6.415343177105e-16       6.341562747334e-12       1.003556954744e-12      -6.028376169207e-15 
  123       4.550463331607e-10       1.388916135318e-13      -4.929463790037e-12       6.525214421718e-16       6.200949142390e-12       9.859388122000e-13      -5.949775283725e-15 
  124       4.595467925378e-10       1.399186887334e-13      -4.999137493435e-12       6.636216386711e-16       6.064533916345e-12       9.687561492268e-13      -5.867763866618e-15 
  125       4.640549523005e-10       1.408884968361e-13      -5.067195384384e-12       6.748357056639e-16       5.932128149606e-12       9.519963102433e-13      -5.783403354571e-15 
  126       4.685694889978e-10       1.417999399316e-13      -5.133563656575e-12       6.861644523520e-16       5.803510728436e-12       9.356434133717e-13      -5.697823969402e-15 
  127       4.730889714544e-10       1.426519624028e-13      -5.198168473205e-12       6.976086987084e-16       5.678427532490e-12       9.196782647702e-13      -5.612226058948e-15 
  128       4.776118580270e-10       1.434435522930e-13      -5.260935995237e-12       7.091692755014e-16       5.556590622366e-12       9.040782729648e-13      -5.527881437944e-15 
  129       4.821366597809e-10       1.441737873356e-13      -5.321793767962e-12       7.208470390075e-16       5.437740128441e-12       8.888226783191e-13      -5.445888232871e-15 
  130       4.866624560879e-10       1.448419758470e-13      -5.380674992644e-12       7.326429169206e-16       5.321839319223e-12       8.739090720243e-13      -5.366402161576e-15 
  131       4.911884306689e-10       1.454475339489e-13      -5.437514779065e-12       7.445578675490e-16       5.208899496478e-12       8.593385358040e-13      -5.289323065524e-15 
  132       4.957137092029e-10       1.459899439640e-13      -5.492248866828e-12       7.565928657075e-16       5.098918851938e-12       8.451104420494e-13      -5.214533427786e-15 
  133       5.002373577703e-10       1.464687561046e-13      -5.544813663335e-12       7.687489028468e-16       4.991882103512e-12       8.312224061850e-13      -5.141897950087e-15 
  134       5.047583812973e-10       1.468835901607e-13      -5.595146281765e-12       7.810269871837e-16       4.887760131497e-12       8.176702390336e-13      -5.071263129851e-15 
  135       5.092757219991e-10       1.472341371890e-13      -5.643184579053e-12       7.934281438302e-16       4.786509614789e-12       8.044478991813e-13      -5.002456837253e-15 
  136       5.137882578238e-10       1.475201612007e-13      -5.688867193867e-12       8.059534149239e-16       4.688072667096e-12       7.915474453428e-13      -4.935287892259e-15 
  137       5.182948008963e-10       1.477415008502e-13      -5.732133584585e-12       8.186038597573e-16       4.592376473148e-12       7.789589887264e-13      -4.869545641682e-15 
  138       5.227940959619e-10       1.478980711237e-13      -5.772924067272e-12       8.313805549074e-16       4.499332924909e-12       7.666706453995e-13      -4.804999536222e-15 
  139       5.272848188303e-10       1.479898650272e-13      -5.811179853664e-12       8.442845943660e-16       4.408838257789e-12       7.546684886534e-13      -4.741398707519e-15 
  140       5.317655748188e-10       1.480169552752e-13      -5.846843089136e-12       8.573170896686e-16       4.320772686852e-12       7.429365013685e-13      -4.678471545194e-15 
  141       5.362348971967e-10       1.479794959790e-13      -5.879856890688e-12       8.704791700249e-16       4.235000043033e-12       7.314565283798e-13      -4.615925273904e-15 
  142       5.406912456286e-10       1.478777243355e-13      -5.910165384919e-12       8.837719824479e-16       4.151367409346e-12       7.202082288416e-13      -4.553445530381e-15 
  143       5.451330046186e-10       1.477119623147e-13      -5.937713746007e-12       8.971966918840e-16       4.069704757095e-12       7.091690285930e-13      -4.490695940487e-15 
  144       5.495586134336e-10       1.474826275007e-13      -5.962448556218e-12       9.107543640663e-16       3.989860596182e-12       6.983190093465e-13      -4.427387872466e-15 
  145       5.539669735982e-10       1.471902632504e-13      -5.984318847323e-12       9.244456007852e-16       3.911813655171e-12       6.876562200604e-13      -4.363498339982e-15 
  146       5.583570788022e-10       1.468355147311e-13      -6.003275234527e-12       9.382708687393e-16       3.835571571090e-12       6.771827915383e-13      -4.299072877398e-15 
  147       5.627278862341e-10       1.464191217616e-13      -6.019269642627e-12       9.522306130438e-16       3.761135708573e-12       6.669001160587e-13      -4.234157273099e-15 
  148       5.670783157811e-10       1.459419205531e-13      -6.032255345850e-12       9.663252566861e-16       3.688501003046e-12       6.568088281124e-13      -4.168797549851e-15 
