# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   50       1.894553092366e-10       1.576058618769e-14       8.065349463138e-14       0.000000000000e+00       5.650934389863e-11       6.382582660378e-12      -1.195046242521e-14 
   51       1.920674635108e-10       1.678424577977e-14       5.508045223129e-14       0.000000000000e+00       5.412152873383e-11       6.140519707022e-12      -1.089821021835e-14 
   52       1.946987662668e-10       1.784603480473e-14       2.756920908176e-14       0.000000000000e+00       5.186843969403e-11       5.909933909349e-12      -9.401534202933e-15 
   53       1.973536230460e-10       1.894604216450e-14      -1.748430208514e-15       0.000000000000e+00       4.974270477506e-11       5.690761797608e-12      -7.755034357684e-15 
   54       2.000354033998e-10       2.008430216655e-14      -3.271429201991e-14       0.000000000000e+00       4.773148358802e-11       5.482506090086e-12      -6.302661083489e-15 
   55       2.027464829947e-10       2.126081011684e-14      -6.518232703035e-14       0.000000000000e+00       4.582038617786e-11       5.284465700541e-12      -5.357171382510e-15 
   56       2.054886121445e-10       2.247557708212e-14      -9.914796608498e-14       0.000000000000e+00       4.400715958528e-11       5.096559685038e-12      -4.929678191761e-15 
   57       2.082624629993e-10       2.372858609608e-14      -1.346488516452e-13       0.000000000000e+00       4.229079723842e-11       4.918656744315e-12      -4.937035053326e-15 
   58       2.110674023105e-10       2.501977543330e-14      -1.717283591818e-13       0.000000000000e+00       4.066739827588e-11       4.750315163878e-12      -5.277986972388e-15 
   59       2.139013965987e-10       2.634903777057e-14      -2.104359735366e-13       0.000000000000e+00       3.912998878612e-11       4.590763663180e-12      -5.832292733333e-15 
   60       2.167609173209e-10       2.771621934836e-14      -2.508276652825e-13       0.000000000000e+00       3.766834304667e-11       4.438882244798e-12      -6.459847215855e-15 
   61       2.196424301119e-10       2.912106322242e-14      -2.929544236458e-13       0.000000000000e+00       3.627182359779e-11       4.293505599647e-12      -7.029628191649e-15 
   62       2.225474676633e-10       3.056302603084e-14      -3.368239960723e-13       0.000000000000e+00       3.493905080987e-11       4.154456229101e-12      -7.516114896867e-15 
   63       2.254785324069e-10       3.204141842314e-14      -3.824311894714e-13       0.000000000000e+00       3.367009641780e-11       4.021710290099e-12      -7.923052670666e-15 
   64       2.284375692323e-10       3.355545477997e-14      -4.297689564036e-13       0.000000000000e+00       3.246357487845e-11       3.895086762255e-12      -8.255605487169e-15 
